name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
Pompeu Fabra University,55.4,186,32.6,417,39.4,250,91.5,125,46.2,512,68.9,357,"11,965",1183,22.4,415,13%,539
Cardiff University,55.2,187,31.1,480,38.9,253,88.5,174,41.5,795,88.3,133,"27,105",503,14.3,1132,28%,173
National Taiwan University (NTU),55.2,188,50.2,111,55.5,107,60.1,662,75.1,155,47.2,740,"25,215",561,11.4,1448,11%,650
Friedrich Schiller University Jena,55,189,42.4,194,39.9,237,81.3,290,49.7,413,62.8,442,"16,446",923,20.6,522,14%,495
Karlsruhe Institute of Technology,55,190,46.7,137,54.2,112,57.8,706,89.7,71,68.6,361,"22,673",645,21.6,455,20%,326
University of Massachusetts,54.9,191,41.2,212,33.5,335,87.8,188,51.7,376,65,407,"63,338",54,13.2,1250,14%,510
University of Aberdeen,54.8,192,30.7,487,34.1,321,89.8,153,47.5,471,95.9,32,"13,205",1107,16.2,899,44%,39
"University of California, Santa Cruz",54.8,193,32.6,418,33.3,339,95.9,81,46.2,511,67.9,369,"19,266",782,22.6,400,14%,493
Medical University of Vienna,54.6,194,35,341,27.6,483,94,99,61.2,260,81.7,199,"7,274",1507,8.4,1677,33%,111
University of Miami,54.6,195,48.4,122,33.5,334,81,297,48.3,447,60.2,475,"17,009",899,10.8,1503,16%,447
University of Erlangen-Nuremberg,54.5,196,44.6,165,47.5,152,68.8,507,90.7,63,53.5,596,"30,303",399,43.4,45,13%,533
Sichuan University,54.5,197,57.1,71,58.6,88,48.6,879,93.4,50,38.7,992,"49,543",101,15.8,942,6%,926
Durham University,54.4,198,40,235,44.6,180,70,484,39.4,1043,94.3,57,"18,425",825,14.1,1163,35%,95
Queen’s University Belfast,54.4,199,31.1,481,37.9,264,84.4,244,41.6,785,97.4,18,"19,060",790,15.8,951,39%,65
University of Reading,54.4,200,36.5,310,39.6,245,78.5,352,42.2,735,93.3,77,"15,720",966,16.4,876,32%,120
Aalto University,51.2,201,38.3,277,40.4,231,67.5,527,53.2,351,81.9,196,"13,306",1105,19.7,591,21%,293
University of Bergen,51.2,202,30.2,514,32.7,361,85.7,226,41.7,776,76.4,259,"15,202",999,12.8,1308,10%,707
Bielefeld University,51.2,203,33.1,404,42.4,207,84.2,246,42.9,686,48.5,706,"24,875",571,66.6,11,7%,824
University of Calgary,51.2,204,36.8,301,40.2,234,75.9,391,61.6,256,79.9,217,"33,560",310,18.7,658,21%,295
Curtin University,51.2,205,26.5,670,33.5,336,83,267,48.5,440,95.2,40,"29,999",412,20.8,504,31%,130
University of Dundee,51.2,206,25.8,699,30.5,417,90.3,143,49.5,417,85.4,162,"13,630",1089,18.3,695,27%,185
University of East Anglia,51.2,207,27,650,29.7,432,95,92,37.7,1361,86.4,152,"15,940",950,13.3,1243,25%,216
Eindhoven University of Technology,51.2,208,45.5,154,49.8,138,55.5,754,99.2,21,86.4,151,"10,240",1290,21,495,24%,223
University of Geneva,51.2,209,34.7,357,35.4,307,81.8,284,48.2,452,98.6,9,"19,078",789,8.7,1656,40%,63
George Washington University,51.2,210,47,134,32.8,357,83.2,261,38.7,1156,56.9,535,"22,298",657,12.9,1293,15%,476
University of Gothenburg,51.2,211,29.3,550,43.6,195,87.9,184,47.1,486,65.1,403,"20,891",715,10.7,1509,12%,609
University of Hohenheim,51.2,212,33.6,389,32.2,380,95.2,88,49.6,414,55.8,560,"8,714",1407,39.7,61,14%,485
Humanitas University,51.2,213,28.3,589,28.8,456,99.7,17,39.4,1039,62.9,441,"1,823",1763,19,644,18%,376
King Fahd University of Petroleum and Minerals,51.2,214,31.4,464,35.9,294,80.3,310,91.8,60,76.7,255,"7,268",1508,8.6,1667,10%,721
University of Konstanz,51.2,215,42,201,46.4,165,62.9,608,62.6,247,67.9,368,"5,758",1607,24.2,340,12%,585
